id,simple_name,english_name,chinese_name,search_name
1,,,德国,
2,,,巴西,
3,,,比利时,
4,,,葡萄牙,
5,,,阿根廷,
6,,,瑞士,
7,,,法国,
8,,,西班牙,
9,,,智利,
10,,,波兰,
11,,,秘鲁,
12,,,丹麦,
13,,,英格兰,
14,,,突尼斯,
15,,,墨西哥,
16,,,哥伦比亚,
17,,,乌拉圭,
18,,,克罗地亚,
19,,,荷兰,
20,,,意大利,
21,,,威尔士,
22,,,冰岛,
23,,,瑞典,
24,,,美国,
25,,,哥斯达黎加,
26,,,奥地利,
27,,,北爱尔兰,
28,,,塞内加尔,
29,,,斯洛伐克,
34,,,伊朗,
30,,,乌克兰,
31,,,爱尔兰,
32,,,罗马尼亚,
32,,,巴拉圭,
34,,,苏格兰,
35,,,塞尔维亚,
37,,,土耳其,
38,,,刚果,
39,,,委内瑞拉,
40,,,澳洲,
41,,,波黑,
42,,,摩洛哥,
43,,,黑山,
44,,,希腊,
45,,,捷克,
46,,,埃及,
47,,,尼日利亚,
48,,,挪威,
49,,,匈牙利,
50,,,加纳,
50,,,喀麦隆,
52,,,牙买加,
54,,,刚果,
53,,,保加利亚,
54,,,布基纳法索,
55,,,巴拿马,
56,,,阿尔巴尼亚,
57,,,玻利维亚,
58,,,佛得角群岛,
59,,,洪都拉斯,
60,,,日本,
61,,,韩国,
62,,,芬兰,
63,,,厄瓜多尔,
64,,,阿尔及利亚,
65,,,斯洛文尼亚,
66,,,俄罗斯,
67,,,马里,
67,,,沙特阿拉伯,
69,,,科特迪瓦,
70,,,几内亚,
71,,,库拉索岛,
72,,,南非,
73,,,中国,
74,,,乌干达,
76,,,叙利亚,
77,,,马其顿,
78,,,赞比亚,
79,,,白俄罗斯,
80,,,加拿大,
81,,,阿联酋,
82,,,黎巴嫩,
83,,,卢森堡,
84,,,贝宁,
85,,,萨尔瓦多,
86,,,塞浦路斯,
87,,,阿曼,
88,,,乌兹别克斯坦,
90,,,加蓬,
91,,,伊拉克,
92,,,特立尼达和多巴哥,
93,,,爱沙尼亚,
93,,,法罗群岛,
95,,,格鲁吉亚,
96,,,巴勒斯坦,
97,,,印度,
98,,,亚美尼亚,
98,,,以色列,
100,,,利比亚,
101,,,卡塔尔,
102,,,越南,
103,,,塞拉利昂,
104,,,几内亚-比绍,
105,,,毛里塔尼亚,
106,,,莫桑比克,
107,,,纳米比亚,
108,,,圣基茨和尼维斯,
108,,,海地,
109,,,尼日尔,
110,,,朝鲜,
111,,,肯尼亚,
111,,,菲律宾,
113,,,津巴布韦,
114,,,马达加斯加,
115,,,中非共和国,
116,,,巴林,
117,,,哈萨克斯坦,
118,,,约旦,
119,,,马拉维,
120,,,塔吉克斯坦,
